1975/007   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:39 0.92 351.96 199.28 -2.73 1623   6.04   720.8 427081.  0.00 -5.50  -3.97  11.57 -10.95 3.74 2.71 2.94 -1.00  -1.0     -1.  6.32 720.7 490387.
 0:01:20 0.92 351.96 199.27 -2.73 1623   6.07   713.1 523028.  1.75 -4.86  -0.62  14.30 -11.38 1.03 0.44 0.54 -1.00  -1.0     -1.  5.92 710.4 509670.
 0:02:00 0.92 351.96 199.26 -2.73 1623   6.30   674.8 493558.  0.05 -5.97  -8.67   9.46 -12.10 1.91 1.59 0.69  0.20 731.3 674224.  6.35 673.2 440439.
 0:02:41 0.92 351.96 199.26 -2.73 1623   6.07   666.2 501562. -0.75 -6.66  -8.74   8.95 -12.79 0.43 0.33 0.40  0.15 737.7 664037.  5.96 664.5 460761.
 0:03:21 0.92 351.96 199.25 -2.73 1623   6.21   666.5 525003. -0.47 -7.06  -9.14   9.28 -12.38 0.31 0.68 0.62  0.19 722.6 609775.  6.34 662.9 507123.
 0:04:02 0.92 351.96 199.25 -2.73 1623   6.21   663.7 481707. -1.35 -6.42  -9.55   9.32 -12.53 0.22 0.24 0.29  0.25 722.5 821210.  6.34 661.5 456967.
 0:04:42 0.92 351.96 199.24 -2.73 1623   6.14   664.1 443921. -0.70 -6.47  -9.28   9.11 -12.71 0.28 0.34 0.36  0.24 688.1 775472.  6.39 665.3 508527.
 0:05:23 0.92 351.96 199.23 -2.73 1623   6.78   663.6 527965. -1.18 -6.55  -8.73   8.88 -12.69 0.50 0.40 0.32  0.26 727.41091066.  6.48 666.4 454316.
 0:06:03 0.92 351.96 199.23 -2.73 1623   6.34   669.7 482643. -0.67 -6.55  -8.26   9.78 -12.58 0.28 0.37 0.47  0.27 710.91007074.  6.71 665.9 516687.
 0:06:44 0.92 351.96 199.22 -2.73 1623   6.46   671.7 512061. -0.94 -6.69  -8.19   9.31 -13.27 0.41 1.03 0.66  0.25 707.2 750940.  6.34 668.3 448183.
 0:07:24 0.92 351.96 199.21 -2.73 1623   6.03   676.2 525367. -0.77 -6.55  -7.65  10.85 -12.96 0.80 0.37 0.50  0.22 726.5 701043.  6.26 676.3 472612.
 0:08:05 0.92 351.96 199.21 -2.73 1623   7.15   664.8 492362. -1.79 -5.83  -8.60   9.77 -12.16 1.43 1.66 0.84  0.27 724.51152189.  7.20 665.0 456032.
 0:08:45 0.92 351.96 199.20 -2.73 1623   6.82   662.0 431964. -2.03 -6.19 -10.06   8.09 -12.07 0.21 0.28 0.24  0.17 731.0 686698.  7.30 664.4 515959.
 0:09:26 0.92 351.96 199.20 -2.73 1623   7.07   663.2 455928. -2.02 -5.89 -10.50   7.84 -12.32 0.32 0.23 0.24  0.21 708.7 926616.  7.09 662.4 422037.
 0:10:06 0.92 351.96 199.19 -2.73 1623   6.37   656.6 437694. -2.54 -5.75 -11.04   6.48 -12.92 0.35 0.69 0.58  0.13 732.0 557176.  6.73 658.7 469295.
 0:10:47 0.92 351.96 199.18 -2.73 1623   6.56   660.9 472241. -2.89 -6.21 -11.57   5.04 -13.62 0.48 0.66 0.73  0.19 724.91043041.  6.53 659.5 428858.
 0:11:27 0.92 351.96 199.18 -2.73 1623   7.38   661.3 420441. -2.58 -6.18 -11.25   5.72 -12.58 0.33 0.36 0.46  0.16 721.0 624744.  7.62 660.3 486973.
 0:12:08 0.92 351.96 199.17 -2.73 1623   7.00   657.3 463116. -4.27 -6.16 -12.21   4.54 -12.78 0.38 0.90 0.54  0.17 709.6 834308.  6.80 656.7 397231.
 0:12:48 0.92 351.96 199.16 -2.73 1623   6.44   656.0 407392. -4.10 -5.89 -12.47   2.79 -13.00 0.33 0.43 0.39  0.17 726.9 776096.  6.68 656.4 454852.
 0:13:29 0.92 351.96 199.16 -2.73 1623   6.73   648.3 437613. -4.53 -5.77 -12.73   2.62 -12.86 0.39 0.44 0.52  0.15 738.7 674848.  6.56 650.2 404150.
 0:14:09 0.92 351.96 199.15 -2.73 1623   6.40   654.6 414961. -3.33 -6.19 -12.35   2.80 -12.93 0.28 0.59 0.41  0.21 716.4 746782.  6.77 655.2 447735.
 0:14:50 0.92 351.96 199.14 -2.73 1623   6.77   657.9 486911. -2.92 -6.60 -12.22   1.20 -12.00 0.44 0.93 0.95  0.22 728.1 970691.  6.46 657.4 423729.
 0:15:30 0.92 351.96 199.14 -2.73 1623   6.95   663.4 526250. -1.56 -7.34 -12.70  -0.14 -11.45 0.35 0.48 0.63  0.25 744.0 967573.  6.86 662.2 498742.
 0:16:11 0.92 351.96 199.13 -2.73 1623   5.80   662.8 517778. -1.41 -6.39 -12.42   1.38 -11.93 0.50 2.21 0.96  0.21 730.3 876304.  5.73 664.5 464556.
 0:16:51 0.92 351.96 199.13 -2.73 1623   5.65   657.9 437613. -2.93 -6.59 -12.47   4.14 -12.01 0.62 1.39 0.47  0.22 739.31061128.  5.68 662.3 512223.
 0:17:32 0.92 351.96 199.12 -2.73 1623   6.30   658.5 475256. -2.25 -7.52 -12.99   0.55 -11.48 0.32 0.50 0.84  0.20 720.21028904.  6.36 660.5 467284.
 0:18:12 0.92 351.96 199.11 -2.73 1623   6.15   657.4 407792. -3.84 -6.86 -12.56   0.96 -11.87 0.47 0.76 0.59  0.27 708.81308115.  6.24 657.9 476585.
 0:18:53 0.92 351.96 199.11 -2.73 1623   6.04   657.3 452949. -4.55 -6.32 -12.60   0.74 -11.49 0.28 0.79 0.71  0.25 724.9 920795.  6.11 657.3 426302.
 0:19:33 0.92 351.96 199.10 -2.73 1623   6.02   654.0 438289. -3.78 -7.52 -12.31   2.06 -12.14 0.29 0.42 0.71  0.20 713.6 999174.  6.33 656.5 481668.
 0:20:14 0.92 351.96 199.09 -2.73 1623   6.29   658.9 510031. -3.70 -7.65 -12.26   2.09 -12.13 0.22 0.29 0.39  0.22 723.11129320.  6.45 658.1 445669.
 0:20:54 0.92 351.96 199.09 -2.73 1623   5.61   657.6 458806. -3.64 -7.33 -12.51   1.97 -12.21 0.34 0.66 0.52  0.23 706.91187532.  5.91 658.0 487655.
 0:21:35 0.92 351.96 199.08 -2.73 1623   5.94   654.5 470591. -3.55 -6.44 -12.66   2.31 -12.41 0.34 0.35 0.40  0.19 740.6 532643.  5.93 656.8 444412.
 0:22:15 0.92 351.96 199.08 -2.73 1623   5.62   656.0 453147. -3.44 -7.30 -12.17   2.60 -12.61 0.52 0.42 0.45  0.18 721.0 762582.  5.83 657.2 492733.
 0:22:56 0.92 351.96 199.07 -2.73 1623   5.92   654.4 485349. -3.38 -7.32 -11.93   2.46 -12.60 0.28 0.32 0.40  0.19 724.61116222.  6.02 654.5 449203.
 0:23:36 0.92 351.96 199.06 -2.73 1623   5.39   658.4 417518. -3.32 -7.27 -12.33   2.58 -12.21 0.29 0.44 0.50  0.13 737.5 638257.  5.75 659.5 491628.
 0:24:17 0.92 351.96 199.06 -2.73 1623   5.73   651.7 465049. -4.49 -6.34 -12.96   1.34 -11.87 0.53 0.61 0.55  0.21 719.31153020.  5.70 652.2 418304.
 0:24:57 0.92 351.96 199.05 -2.73 1623   5.45   667.1 509670. -3.12 -7.37 -11.73   2.98 -12.56 0.52 0.72 0.51  0.22 709.31085245.  5.43 669.7 450730.
 0:25:38 0.92 351.96 199.04 -2.73 1623   5.81   657.6 476464. -3.37 -7.56 -12.18   2.87 -11.89 0.24 0.63 0.60  0.22 706.0 908321.  6.15 656.9 440842.
 0:26:18 0.92 351.96 199.04 -2.73 1623   6.11   661.6 452650. -2.43 -7.42 -11.42   3.73 -12.43 0.46 0.66 0.35  0.18 729.6 823081.  6.07 665.8 506656.
 0:26:59 0.92 351.96 199.03 -2.73 1623   5.79   666.2 499223. -2.43 -7.72 -12.30   2.92 -12.24 0.64 0.52 0.72  0.21 721.21083373.  5.95 664.7 457851.
 0:27:39 0.92 351.95 199.03 -2.74 1623   6.27   655.0 412048. -3.00 -7.33 -12.63   2.19 -11.66 0.24 0.48 0.44  0.12 730.9 847198.  6.82 653.6 462938.
 0:28:20 0.92 351.95 199.02 -2.74 1623   6.32   656.1 452715. -3.12 -7.29 -12.70   1.71 -11.71 0.21 0.35 0.46  0.16 730.91140546.  6.33 656.0 428816.
 0:29:00 0.92 351.95 199.01 -2.74 1623   6.25   659.9 458471. -2.28 -7.39 -12.53   1.83 -12.15 0.22 0.48 0.35  0.16 712.51260505.  6.40 660.0 453280.
 0:29:41 0.92 351.95 199.01 -2.74 1623   5.85   657.9 470032. -2.11 -6.86 -12.56   2.99 -11.97 0.17 0.41 0.38  0.18 713.8 712478.  5.96 657.2 431165.
 0:30:21 0.92 351.95 199.00 -2.74 1623   6.23   657.9 437483. -1.03 -7.46 -12.11   3.80 -12.00 0.33 0.84 0.40  0.21 717.41276722.  6.39 656.8 462512.
 0:31:02 0.92 351.95 199.00 -2.74 1623   6.03   655.2 462451. -1.73 -7.18 -12.20   3.79 -12.11 0.41 1.03 0.48  0.14 714.5 841585.  6.02 655.0 412453.
 0:31:42 0.92 351.95 198.99 -2.74 1623   5.66   659.0 412951. -1.69 -6.82 -12.60   2.99 -12.21 0.26 0.92 0.58  0.19 692.5 793975.  5.97 660.6 461044.
 0:32:23 0.92 351.95 198.98 -2.74 1623   5.76   660.1 366546. -0.83 -7.36 -12.51   2.88 -12.73 0.27 0.90 0.38  0.16 724.31176305.  5.78 657.6 382220.
 0:33:03 0.92 351.95 198.98 -2.74 1623   5.80   649.4 373943. -1.83 -7.34   0.00   0.00   0.00 0.00 0.00 0.00  0.14 704.7 971731.  5.73 647.8 376951.
 0:33:44 0.92 351.95 198.97 -2.74 1623   5.17   646.9 376629. -2.29 -7.54   0.00   0.00   0.00 0.00 0.00 0.00  0.15 724.51020588.  5.37 651.9 398609.
 0:34:24 0.92 351.95 198.96 -2.74 1623   5.90   647.7 392956. -2.05 -7.66 -12.70   4.11 -12.35 0.38 0.21 0.39  0.13 721.1 702914.  6.09 644.2 393853.
 0:35:05 0.92 351.95 198.96 -2.74 1623   6.45   650.9 438045. -1.89 -7.36 -12.75   3.01 -12.26 0.63 1.43 0.84  0.16 714.2 835348.  6.85 650.1 472121.
 0:35:45 0.92 351.95 198.95 -2.74 1623   6.21   653.6 402529. -2.33 -7.29 -13.23   0.80 -11.97 0.23 0.38 0.51  0.19 704.41299591.  6.41 650.5 388266.
 0:36:26 0.92 351.95 198.94 -2.74 1623   6.79   666.1 376769. -0.94 -8.81 -13.10   0.52 -11.91 0.44 0.60 0.68  0.11 742.81044081.  6.89 661.0 400022.
 0:37:06 0.92 351.95 198.94 -2.74 1623   5.50   653.7 381681. -2.65 -7.09 -12.62   1.78 -12.75 0.40 0.56 0.47  0.12 735.0 631396.  5.84 651.7 384653.
 0:37:47 0.92 351.95 198.93 -2.74 1623   6.01   661.8 377058. -1.97 -7.25 -12.33   1.73 -13.25 0.41 0.28 0.30  0.16 716.0 906242.  6.08 658.4 398791.
 0:38:27 0.92 351.95 198.93 -2.74 1623   5.94   654.9 391485. -1.79 -7.22 -11.95   1.92 -13.38 0.26 0.30 0.27  0.14 711.9 935140.  6.32 657.9 450321.
 0:39:08 0.92 351.95 198.92 -2.74 1623   5.37   656.8 309338. -2.26 -6.42 -12.10   2.45 -13.17 0.24 0.24 0.21 -1.00  -1.0     -1.  5.95 654.5 389724.
 0:39:48 0.92 351.95 198.91 -2.74 1623   5.74   655.2 407363. -2.32 -6.96 -11.63   2.67 -13.31 0.35 0.36 0.41  0.16 691.3 758424.  6.29 658.0 490374.
 0:40:29 0.92 351.95 198.91 -2.74 1623   6.44   653.9 415049. -2.68 -7.39 -11.92   2.70 -12.78 0.28 0.39 0.45  0.15 713.1 765077.  6.32 652.7 394347.
 0:41:09 0.92 351.95 198.90 -2.74 1623   5.80   653.6 405508. -2.67 -7.61 -12.22   2.86 -12.71 0.29 0.48 0.63  0.12 727.9 844287.  5.88 648.7 398742.
 0:41:50 0.92 351.95 198.89 -2.74 1623   5.80   667.1 368037. -2.47 -7.85 -11.99   3.03 -12.91 0.60 0.48 0.67  0.13 714.8 749276.  5.75 661.4 392440.
 0:42:30 0.92 351.95 198.89 -2.74 1623   5.76   650.0 425071. -2.03 -6.91 -12.07   3.54 -12.64 0.55 0.55 0.74  0.10 725.8 458215.  6.00 657.2 453374.
 0:43:11 0.92 351.95 198.88 -2.74 1623   5.36   652.0 361693. -1.50 -6.95 -12.14   4.19 -12.45 0.34 0.47 0.39  0.15 723.6 915390.  5.55 654.6 393723.
 0:43:51 0.92 351.95 198.88 -2.74 1623   6.13   655.5 375957. -0.81 -7.31 -11.58   4.42 -12.50 0.88 1.00 0.88  0.13 728.4 558007.  5.90 653.0 349141.
 0:44:32 0.92 351.95 198.87 -2.74 1623   6.03   651.3 354881. -2.38 -6.05 -12.91   2.38 -11.93 0.24 0.41 0.50  0.16 705.3 771106.  5.81 656.0 360183.
 0:45:12 0.92 351.95 198.86 -2.74 1623   5.88   654.3 365910. -2.60 -6.06 -13.11   2.29 -11.87 0.30 0.25 0.37  0.14 728.4 725368.  6.06 651.9 359416.
 0:45:53 0.92 351.95 198.86 -2.74 1623   5.78   644.8 347293. -4.00 -5.29 -13.78   0.62 -10.91 0.79 1.32 1.16  0.15 709.8 660503.  6.20 651.3 357165.
 0:46:33 0.92 351.95 198.85 -2.74 1623   6.39   650.0 368352. -4.04 -5.52 -14.39  -0.46 -10.19 0.26 0.28 0.39  0.20 706.61107698.  6.50 647.8 383409.
 0:47:14 0.92 351.95 198.84 -2.74 1623   6.13   652.6 386690. -2.78 -6.41 -13.94   0.30 -10.73 0.30 0.45 0.44  0.15 729.01195017.  6.23 658.1 382928.
 0:47:54 0.92 351.95 198.84 -2.74 1623   5.97   654.7 363311. -2.30 -6.33 -13.93   0.77 -10.64 0.30 0.29 0.32  0.17 726.9 709567.  6.40 652.1 393801.
 0:48:35 0.92 351.95 198.83 -2.74 1623   6.09   651.5 358766. -1.85 -5.94 -13.93   1.29 -10.55 0.33 0.41 0.39  0.24 692.21145952.  6.40 654.4 366033.
 0:49:15 0.92 351.95 198.82 -2.74 1623   6.07   645.2 324615. -2.13 -5.29 -14.83   1.51  -9.01 0.46 0.72 0.74  0.20 710.8 906658.  6.17 644.6 361037.
 0:49:56 0.92 351.95 198.82 -2.74 1623   6.19   644.7 342043. -1.59 -5.29 -14.79   1.62  -8.93 0.35 0.58 0.46  0.15 724.9 772977.  6.69 648.7 361037.
 0:50:36 0.92 351.95 198.81 -2.74 1623   6.18   643.9 333600. -1.91 -4.88 -15.34   0.97  -8.17 0.27 0.29 0.37  0.13 715.1 865493.  6.54 638.7 347553.
 0:51:17 0.92 351.95 198.81 -2.74 1623   6.70   642.3 349368. -1.92 -5.10 -14.92   1.04  -8.73 0.31 0.37 0.51  0.21 729.81102292.  6.65 645.4 353156.
