1975/045   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:33 0.62 355.71  62.81 -6.53 1624   7.47   648.0 247214.  0.00  1.02   8.64  -8.57  -1.56 1.53 1.69 1.29  0.35 695.3 885660.  6.69 645.4 243004.
 0:01:14 0.62 355.71  62.81 -6.53 1624   7.63   634.7 243342.  1.38 -0.98   9.54  -7.89   0.24 1.43 1.30 1.48  0.28 702.3 775680.  6.63 631.5 210740.
 0:01:54 0.62 355.71  62.80 -6.53 1624   7.56   639.8 191480.  0.00 -1.92   9.54  -7.70   2.69 0.75 0.66 1.01  0.33 695.71020796.  6.67 638.2 202272.
 0:02:35 0.62 355.71  62.79 -6.53 1624   7.76   629.8 219573.  1.11 -0.95  10.17  -6.98   2.24 0.76 0.73 1.08  0.25 696.2 803747.  6.71 622.4 187748.
 0:03:15 0.62 355.71  62.79 -6.53 1624   7.65   626.3 258080.  1.05 -0.08  10.98  -6.02   0.78 0.24 0.46 0.53  0.26 697.41039299.  6.85 622.0 151057.
 0:03:56 0.62 355.71  62.78 -6.53 1624   7.72   625.6 218654.  0.74 -0.14  11.16  -5.81   0.44 0.25 0.55 0.45  0.29 684.61216430.  7.25 619.3 186319.
 0:04:36 0.62 355.71  62.78 -6.53 1624   7.33   624.3 266633.  0.69 -0.08  10.95  -5.90   0.34 0.30 0.64 0.45  0.27 678.2 716636.  6.58 619.0 150631.
 0:05:17 0.62 355.71  62.77 -6.53 1624   7.19   621.6 218628.  0.14  0.58  10.93  -6.14   0.19 0.48 0.72 0.38  0.30 684.01021004.  6.76 615.2 202892.
 0:05:57 0.62 355.71  62.77 -6.53 1624   7.65   621.4 196694.  1.01 -0.18  10.53  -6.70   0.62 0.49 0.75 0.54  0.29 692.21046991.  6.36 618.8 161361.
 0:06:38 0.62 355.71  62.76 -6.53 1624   7.11   636.9 240847.  2.09 -0.99   9.58  -7.76   1.57 0.58 0.84 0.73  0.30 699.4 695638.  6.78 640.0 252746.
 0:07:18 0.62 355.71  62.75 -6.53 1624   7.50   635.3 267238.  0.00 -1.02   9.29  -7.66   2.93 0.45 0.86 0.79  0.32 679.8 595222.  6.72 634.2 220265.
 0:07:59 0.62 355.71  62.75 -6.53 1624   6.92   641.4 231807.  2.11 -1.65   9.25  -7.81   2.69 0.46 1.47 0.67  0.30 684.21046783.  6.35 638.6 177246.
 0:08:39 0.62 355.71  62.74 -6.53 1624   8.53   627.0 204500.  0.00  0.48   9.21  -7.24  -1.73 0.69 1.78 1.57  0.29 690.31030359.  8.04 627.4 237894.
 0:09:20 0.62 355.71  62.74 -6.53 1624   7.29   628.7 230741.  2.48  0.38   9.31  -6.75  -1.29 0.54 1.00 1.71  0.31 688.9 740545.  7.06 621.9 241234.
 0:10:00 0.62 355.71  62.73 -6.53 1624   6.93   646.2 228747. -0.33  5.24   7.61  -4.42  -7.24 1.55 1.24 1.89  0.32 690.81014766.  6.22 641.2 212342.
 0:10:41 0.62 355.71  62.72 -6.53 1624   7.83   627.5 207944. -1.01  3.63   8.87  -2.26  -6.02 1.89 3.53 1.80  0.31 681.71124746.  7.29 619.3 198127.
 0:11:21 0.62 355.71  62.72 -6.53 1624   8.02   627.6 268911. -3.76  3.67   9.18   0.18  -6.40 1.41 2.62 1.67  0.32 691.9 987531.  7.09 626.3 234019.
 0:12:02 0.62 355.71  62.71 -6.53 1624   8.24   640.0 256297. -1.43  5.16   9.02  -0.43  -6.93 0.72 1.97 1.42  0.32 682.31163831.  7.19 644.3 281076.
 0:12:42 0.62 355.71  62.71 -6.53 1624   7.61   628.6 223280. -1.93  3.99   9.53   0.03  -6.56 0.61 1.05 1.45  0.41 694.11085868.  7.10 631.7 218667.
 0:13:23 0.62 355.71  62.70 -6.53 1624   6.90   652.7 210760. -3.01  5.68   8.27  -2.65  -5.73 1.86 3.64 3.55  0.39 673.01222459.  6.04 648.9 172902.
