1976/268   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:33:11 0.40 187.29  49.31 -6.57 1646  -1.00    -1.0     -1. -1.00 -1.00  -7.63  -2.99 -10.03 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 1:52:25 0.40 187.48  48.78 -6.66 1646  84.66   279.4  53600.  0.55  4.25   0.00   0.00   0.00 0.00 0.00 0.00  0.98 274.6  99234. 76.25 277.3  52047.
 2:35:37 0.40 187.58  48.48 -6.65 1646  94.38   279.9  49532. -0.07  3.93  -0.38  14.19  -1.92 0.00 0.00 0.00  0.81 282.6  93764. 85.34 280.3  51660.
 3:18:49 0.40 187.68  48.19 -6.64 1646 111.92   276.6  45124.  0.65  4.23   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 99.24 274.6  45540.
 4:02:01 0.40 187.78  47.89 -6.64 1646 129.64   275.5  34843.  1.01  4.46   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.111.81 272.9  31097.
 4:45:13 0.40 187.88  47.60 -6.63 1646 130.13   273.5  29174.  0.43  3.64  -0.62   4.14  -9.03 0.00 0.00 0.00 -1.00  -1.0     -1.114.63 273.1  33768.
 5:28:25 0.40 187.98  47.30 -6.62 1646 129.30   278.2  31429.  0.00  0.00   1.70   2.52 -11.39 0.00 0.00 0.00 -1.00  -1.0     -1.121.22 276.6  30094.
 7:53:24 0.39 188.32  46.31 -6.60 1646  -1.00    -1.0     -1. -1.00 -1.00  14.24  -0.26  -0.07 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 9:19:48 0.39 188.52  45.72 -6.59 1646  -1.00    -1.0     -1. -1.00 -1.00   6.99   8.97  -7.10 0.00 0.00 0.00 -1.00  -1.0     -1.105.87 258.6  29730.
10:03:00 0.39 188.62  45.42 -6.58 1646  -1.00    -1.0     -1. -1.00 -1.00   6.70   1.76  -8.33 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
10:36:37 0.39 188.70  45.19 -6.58 1646 127.21   252.3  33657.  0.00  0.00  -8.31   3.81 -10.70 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
12:03:01 0.39 188.91  44.61 -6.56 1646  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.166.50 269.2  48233.
23:49:59 0.39 190.60  39.82 -6.32 1646  -1.00    -1.0     -1. -1.00 -1.00 -11.17  -8.21  -1.61 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
