1981/196   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:53 0.65  87.02 187.28  6.02 1710  55.41   283.0  14137.  5.69  5.53   0.00   0.00   0.00 0.00 0.00 0.00  1.13 274.7  31367. 54.36 279.0  11590.
 0:02:14 0.65  87.03 187.27  6.02 1710  51.12   283.5  12273.  5.16  5.85   0.00   0.00   0.00 0.00 0.00 0.00  1.49 279.8  23597. 53.15 279.5  12698.
 0:03:35 0.65  87.03 187.26  6.02 1710  53.27   285.0  13618.  5.20  5.62   0.00   0.00   0.00 0.00 0.00 0.00  1.89 278.0  33056. 51.57 280.7  11444.
 0:04:56 0.65  87.03 187.25  6.02 1710  51.92   283.0  12546.  5.68  5.74   0.00   0.00   0.00 0.00 0.00 0.00  1.75 279.2  35772. 52.09 279.0  12058.
 0:06:17 0.65  87.03 187.23  6.02 1710  55.75   283.1  14092.  5.68  5.60   0.00   0.00   0.00 0.00 0.00 0.00  1.73 275.8  36773. 53.04 279.0  12477.
 0:07:38 0.65  87.03 187.22  6.02 1710  50.76   283.5  12549.  5.38  5.68   0.00   0.00   0.00 0.00 0.00 0.00  1.62 279.3  22064. 52.72 279.8  12679.
 0:08:59 0.65  87.03 187.21  6.02 1710  54.72   284.0  14270.  5.33  5.74   0.00   0.00   0.00 0.00 0.00 0.00  2.33 276.4  36708. 52.41 280.1  11672.
 0:10:20 0.65  87.03 187.20  6.02 1710  53.32   283.3  12468.  5.33  5.91   0.00   0.00   0.00 0.00 0.00 0.00  1.69 278.6  20140. 52.98 279.8  12432.
 0:11:41 0.65  87.03 187.19  6.02 1710  52.40   281.9  12396.  5.34  6.18   0.00   0.00   0.00 0.00 0.00 0.00  2.55 275.5  17970. 52.86 279.1  13104.
 0:13:02 0.65  87.03 187.18  6.02 1710  53.78   283.7  12669.  5.74  5.61   0.00   0.00   0.00 0.00 0.00 0.00  1.32 280.2  24701. 52.80 280.2  11740.
 0:14:23 0.65  87.03 187.16  6.02 1710  55.20   281.6  12318.  5.77  5.48   0.00   0.00   0.00 0.00 0.00 0.00  1.14 273.6  22752. 53.91 278.8  12643.
 0:15:44 0.65  87.03 187.15  6.02 1710  52.28   282.9  12848.  5.70  5.48   0.00   0.00   0.00 0.00 0.00 0.00  1.01 279.0  22038. 53.66 278.8  12958.
 0:17:05 0.65  87.03 187.14  6.02 1710  55.04   284.4  14725.  5.75  5.50   0.00   0.00   0.00 0.00 0.00 0.00  1.81 276.4  34668. 53.10 280.2  11714.
 0:18:26 0.65  87.03 187.13  6.02 1710  51.93   283.9  13455.  5.73  5.41   0.00   0.00   0.00 0.00 0.00 0.00  1.26 280.1  24311. 53.07 280.6  15362.
 0:19:47 0.65  87.03 187.12  6.01 1710  55.30   284.6  15349.  5.58  5.47   0.00   0.00   0.00 0.00 0.00 0.00  1.61 277.6  37929. 52.41 280.6  13621.
 0:21:08 0.65  87.03 187.10  6.01 1710  53.32   287.2  13897.  5.38  5.68   0.00   0.00   0.00 0.00 0.00 0.00  1.29 280.7  24311. 54.47 283.3  13721.
 0:22:29 0.65  87.03 187.09  6.01 1710  55.92   284.4  14946.  5.31  5.42   0.00   0.00   0.00 0.00 0.00 0.00  1.07 277.5  35629. 55.15 280.5  12734.
 0:23:50 0.65  87.04 187.08  6.01 1710  54.64   283.5  13588.  5.55  5.60   0.00   0.00   0.00 0.00 0.00 0.00  0.97 279.7  23948. 57.31 279.9  15141.
 0:25:11 0.65  87.04 187.07  6.01 1710  56.94   284.5  14677.  5.50  5.39   0.00   0.00   0.00 0.00 0.00 0.00  1.00 277.3  34655. 54.76 280.5  13059.
 0:26:32 0.65  87.04 187.06  6.01 1710  55.63   283.0  12890.  5.62  5.33   0.00   0.00   0.00 0.00 0.00 0.00  0.93 279.7  24117. 55.72 279.0  13088.
 0:27:53 0.65  87.04 187.04  6.01 1710  57.62   284.2  14631.  5.64  5.11   0.00   0.00   0.00 0.00 0.00 0.00  0.76 276.4  41190. 54.73 280.2  13169.
 0:29:14 0.65  87.04 187.03  6.01 1710  52.71   283.0  13082.  5.40  5.27   0.00   0.00   0.00 0.00 0.00 0.00  0.90 278.3  20335. 53.86 280.1  14374.
 0:30:35 0.65  87.04 187.02  6.01 1710  56.44   283.1  15420.  5.54  5.56   0.00   0.00   0.00 0.00 0.00 0.00  1.93 276.0  34486. 54.44 279.0  15177.
 0:31:56 0.65  87.04 187.01  6.01 1710  54.55   282.1  17006.  6.06  5.37   0.00   0.00   0.00 0.00 0.00 0.00  1.61 275.9  37227. 54.99 279.0  17724.
 0:33:17 0.65  87.04 187.00  6.01 1710  52.65   284.0  17418.  5.79  4.92   0.00   0.00   0.00 0.00 0.00 0.00  1.32 278.0  49442. 51.62 279.6  16369.
 0:34:38 0.65  87.04 186.99  6.01 1710  51.62   283.3  16765.  5.97  5.23   0.00   0.00   0.00 0.00 0.00 0.00  1.51 279.9  23792. 53.39 280.7  17145.
 0:35:59 0.65  87.04 186.97  6.01 1710  51.82   284.7  16577.  6.29  5.43   0.00   0.00   0.00 0.00 0.00 0.00  1.87 277.1  42373. 50.59 280.7  14069.
 0:37:20 0.65  87.04 186.96  6.01 1710  54.32   283.6  15820.  5.69  4.97   0.00   0.00   0.00 0.00 0.00 0.00  1.23 280.0  24727. 55.70 280.9  17350.
 0:38:41 0.65  87.04 186.95  6.01 1710  54.25   285.5  16600.  5.10  4.72   0.00   0.00   0.00 0.00 0.00 0.00  1.41 277.6  45478. 51.99 281.9  14222.
 0:40:02 0.65  87.04 186.94  6.01 1710  48.51   285.3  16018.  5.50  5.36   0.00   0.00   0.00 0.00 0.00 0.00  1.46 279.4  23688. 50.30 282.7  17405.
 0:41:23 0.65  87.04 186.93  6.01 1710  52.84   286.1  18240.  5.52  4.84   0.00   0.00   0.00 0.00 0.00 0.00  1.19 276.9  43373. 52.01 281.4  16954.
 0:42:44 0.65  87.04 186.91  6.01 1710  51.49   285.1  15053.  5.35  4.93   0.00   0.00   0.00 0.00 0.00 0.00  1.15 279.6  20452. 52.27 282.2  17301.
