1981/293   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:41:14 0.89  76.53 334.50 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.64 293.9  14228.
 0:42:35 0.89  76.53 334.49 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.09 294.3  16973.
 0:43:56 0.89  76.53 334.48 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.69 293.7  14495.
 0:43:58 0.89  76.53 334.48 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.11 293.7  16265.
 0:45:19 0.89  76.53 334.47 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.18 293.0  15732.
 0:46:40 0.89  76.53 334.46 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.75 293.2  17178.
 0:48:01 0.89  76.53 334.44 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.43 292.8  14751.
 0:49:22 0.89  76.53 334.43 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.11 293.5  16788.
 0:50:43 0.89  76.53 334.42 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.68 292.8  16281.
 0:52:04 0.89  76.53 334.41 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.36 292.6  17175.
 0:53:25 0.89  76.53 334.39 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.87 293.1  14569.
 0:54:46 0.89  76.53 334.38 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.19 293.3  15953.
 0:56:07 0.89  76.53 334.37 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.86 292.5  14670.
 0:57:28 0.89  76.53 334.35 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.00 293.3  16895.
 0:58:49 0.89  76.53 334.34 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.94 292.8  16609.
 1:00:10 0.89  76.53 334.33 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.39 292.4  16898.
 1:01:31 0.89  76.53 334.32 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.39 292.2  16671.
 1:02:52 0.89  76.53 334.31 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.28 292.5  16252.
 1:04:13 0.89  76.53 334.29 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.30 292.2  16418.
 1:05:34 0.89  76.53 334.28 -3.29 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.12 292.3  16281.
 1:06:55 0.89  76.53 334.27 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.80 292.5  16785.
 1:08:16 0.89  76.53 334.26 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.35 293.6  16759.
 1:09:37 0.89  76.53 334.24 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.44 293.7  14677.
 1:10:58 0.89  76.53 334.23 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.09 293.7  16460.
 1:12:19 0.89  76.53 334.22 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.11 293.5  15076.
 1:13:40 0.89  76.53 334.20 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.22 293.6  16086.
 1:15:01 0.89  76.53 334.19 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.77 293.6  14988.
 1:16:22 0.89  76.53 334.18 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.92 294.2  16346.
 1:17:43 0.89  76.53 334.17 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.99 293.6  15502.
 1:19:04 0.89  76.53 334.16 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.91 294.8  16626.
 1:20:25 0.89  76.53 334.14 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.92 294.3  14693.
 1:21:44 0.89  76.53 334.13 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.50 294.3  16320.
 1:23:05 0.89  76.53 334.12 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.85 293.4  15742.
 1:35:05 0.89  76.53 334.01 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.83 294.1  20170.
