1982/328   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:11:47 0.75  61.35  80.90 -5.26 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.57 490.5  47337.
 0:54:59 0.75  61.35  80.50 -5.26 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 11.26 739.7 484982.
 1:38:11 0.75  61.36  80.12 -5.27 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 11.76 739.71319913.
 2:21:23 0.75  61.36  79.73 -5.27 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.91 754.51497721.
 3:04:35 0.75  61.37  79.34 -5.27 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.31 732.91679271.
 3:47:47 0.75  61.38  78.95 -5.28 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.80 736.51223187.
 4:30:59 0.75  61.38  78.56 -5.28 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.93 716.21276098.
 5:14:11 0.75  61.39  78.17 -5.28 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.42 721.61458739.
 5:57:23 0.75  61.39  77.79 -5.29 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.90 735.51980103.
 6:40:35 0.75  61.40  77.39 -5.29 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.62 702.1 866429.
 7:23:47 0.75  61.41  77.00 -5.29 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.08 690.3 636594.
 8:06:59 0.74  61.41  76.62 -5.30 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.73 699.9 643922.
 8:50:11 0.74  61.42  76.23 -5.30 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.88 698.4 661230.
 9:33:23 0.74  61.43  75.84 -5.30 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 23.82 720.5 342621.
10:16:35 0.74  61.43  75.45 -5.31 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.32 689.7 377289.
10:59:47 0.74  61.44  75.06 -5.31 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.78 726.4 304316.
11:42:59 0.74  61.44  74.68 -5.31 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.58 675.8  93764.
12:26:11 0.74  61.45  74.28 -5.32 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 10.69 687.0  74896.
13:09:23 0.74  61.46  73.90 -5.32 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.19 673.6  31393.
13:52:35 0.74  61.46  73.51 -5.32 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  5.65 647.7  23175.
17:18:33 0.74  61.50  71.66 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.75 649.5  22518.
17:18:34 0.74  61.50  71.66 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.44 657.6  46622.
17:19:04 0.74  61.50  71.65 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.09 649.4  23860.
17:19:45 0.74  61.50  71.64 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.53 651.6  47184.
17:20:26 0.74  61.50  71.64 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 22.78 648.3  24695.
17:21:06 0.74  61.50  71.63 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.98 654.0  65892.
17:21:47 0.74  61.50  71.63 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.37 647.2  22457.
17:22:27 0.74  61.50  71.62 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.24 656.1  53950.
17:23:08 0.74  61.50  71.61 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.50 648.6  18039.
17:23:48 0.74  61.50  71.61 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.45 643.4  38036.
17:24:29 0.74  61.50  71.60 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.70 643.8  22811.
17:25:09 0.74  61.50  71.60 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 22.23 640.4  43419.
17:25:50 0.74  61.50  71.59 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 54.87 650.9  20504.
17:26:30 0.74  61.50  71.59 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.40 644.3  43403.
17:27:11 0.74  61.50  71.58 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 51.38 650.5  21778.
17:27:51 0.74  61.50  71.57 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.75 649.6  55662.
17:28:32 0.74  61.50  71.57 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 60.86 649.0  20615.
17:29:12 0.74  61.50  71.56 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.92 649.6  36708.
17:29:53 0.74  61.50  71.56 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 69.70 647.1  21550.
17:30:33 0.74  61.50  71.55 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.42 642.4  35811.
17:31:14 0.74  61.50  71.54 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 68.84 649.2  19656.
17:31:54 0.74  61.50  71.54 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.84 648.3  39189.
17:32:35 0.74  61.50  71.53 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 66.77 648.4  24266.
17:33:15 0.74  61.50  71.52 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 53.87 646.1  35960.
17:33:56 0.74  61.50  71.52 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 60.85 652.4  30510.
17:34:36 0.74  61.50  71.51 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 50.36 653.9  48571.
17:35:17 0.74  61.50  71.51 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 61.52 654.3  32641.
17:35:57 0.74  61.50  71.50 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 50.83 655.2  43971.
17:36:38 0.74  61.50  71.49 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 54.89 653.1  31175.
17:37:18 0.74  61.50  71.49 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 52.80 657.0  49065.
17:37:59 0.74  61.50  71.48 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 63.50 654.7  34044.
17:38:39 0.74  61.50  71.47 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 58.26 653.9  42740.
17:39:20 0.74  61.50  71.47 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 76.70 661.0  36071.
17:40:00 0.74  61.50  71.46 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 61.77 658.6  45322.
17:40:41 0.74  61.50  71.46 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 66.51 658.0  37006.
17:41:21 0.74  61.50  71.45 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 47.16 655.3  46882.
17:42:02 0.74  61.50  71.44 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 57.99 657.9  44335.
17:42:42 0.74  61.50  71.44 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 48.34 655.6  45011.
17:43:23 0.74  61.50  71.43 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 54.08 652.5  34703.
17:44:03 0.74  61.50  71.43 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.30 649.3  46953.
17:44:44 0.74  61.50  71.42 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 52.45 651.8  34089.
17:45:24 0.74  61.50  71.41 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.15 648.1  48668.
17:46:05 0.74  61.50  71.41 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 48.35 652.0  31939.
17:46:45 0.74  61.50  71.40 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.18 655.7  53275.
17:47:26 0.74  61.50  71.40 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.52 652.5  27251.
17:48:06 0.74  61.50  71.39 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.99 646.3  38842.
17:48:47 0.74  61.50  71.38 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.21 650.8  30886.
17:49:27 0.74  61.50  71.38 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 23.13 650.6  52446.
17:50:08 0.74  61.50  71.37 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 47.46 655.3  26351.
17:50:48 0.74  61.50  71.37 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.88 654.0  53944.
17:51:29 0.74  61.50  71.36 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.57 653.8  25919.
17:52:09 0.74  61.50  71.35 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.70 647.6  46216.
17:52:50 0.74  61.50  71.35 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 47.85 653.0  32946.
17:53:30 0.74  61.50  71.34 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.22 649.5  60818.
17:54:11 0.74  61.50  71.34 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.67 648.7  38368.
17:54:51 0.74  61.50  71.33 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 50.48 642.0  42828.
17:55:32 0.74  61.50  71.33 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.17 654.7  29418.
