1983/005   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:10:57 0.31 156.34 343.12  0.56 1730 188.56   310.3 165538.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:54:09 0.31 156.52 342.91  0.59 1730 181.05   309.2 124348.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.154.78 310.2 151687.
 1:37:21 0.31 156.70 342.70  0.62 1730  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.153.24 308.4 195304.
 2:20:33 0.31 156.88 342.48  0.64 1730 188.01   320.3 191565.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 3:46:57 0.31 157.24 342.05  0.70 1730 183.34   312.6 106910.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 4:30:09 0.31 157.43 341.84  0.72 1730 183.87   306.8 177463.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.159.66 307.6 215918.
 5:13:21 0.31 157.61 341.62  0.75 1730  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.155.97 307.8 213154.
 5:56:33 0.31 157.79 341.41  0.78 1730 202.22   300.7 161955.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
 6:39:45 0.31 157.97 341.20  0.80 1730 201.11   313.2 184785.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.171.59 315.9 224933.
 7:22:57 0.31 158.15 340.98  0.83 1730 212.84   317.0 156650.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.179.00 319.8 182758.
 8:49:21 0.31 158.51 340.56  0.88 1730  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.192.01 302.0  82855.
 9:32:33 0.31 158.69 340.34  0.91 1730 252.70   296.0  51118.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00  4.97 287.3  87046. -1.00  -1.0     -1.
10:20:33 0.31 158.89 340.10  0.94 1730 242.12   289.5  42974.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00  6.23 284.0  74000. -1.00  -1.0     -1.
11:03:45 0.31 159.07 339.89  0.96 1730 258.56   314.1  80282.  0.46 -2.47   0.00   0.00   0.00 0.00 0.00 0.00  3.59 310.3 109681.217.40 313.5  80347.
11:46:57 0.31 159.25 339.67  0.99 1730  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.184.85 322.3  64739.
12:30:09 0.31 159.44 339.46  1.02 1730 169.22   369.6  90515.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00  2.33 368.3  77495. -1.00  -1.0     -1.
13:08:33 0.31 159.60 339.27  1.04 1730 101.83   317.7 157501. -1.93 -2.21   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
13:51:45 0.31 159.78 339.06  1.07 1730  69.52   309.1 123805.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00  8.01 331.0 311670. -1.00  -1.0     -1.
14:34:57 0.31 159.95 338.84  1.09 1730  45.44   402.6 140889.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00  0.82 461.2 279095. -1.00  -1.0     -1.
15:18:09 0.31 160.14 338.63  1.12 1730  45.40   398.2 158593.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. -1.00  -1.0     -1.
16:44:33 0.31 160.50 338.20  1.17 1730  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.68 387.3 183057.
19:23:30 0.31 161.16 337.41  1.27 1730  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.114.22 310.8 173438.
19:23:50 0.31 161.16 337.41  1.27 1730 137.21   306.5 174046.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.111.15 306.6 193027.
