1985/009   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
14:08:05 0.56  40.60 238.82 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.92 452.0 195534.
14:08:45 0.56  40.60 238.82 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.98 454.2 183275.
14:09:26 0.56  40.60 238.81 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.43 457.2 198802.
14:10:06 0.56  40.60 238.80 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.88 456.7 195736.
14:10:47 0.56  40.60 238.79 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.20 456.6 193397.
14:11:27 0.56  40.60 238.80 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.67 456.8 180835.
14:13:29 0.56  40.60 238.77 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.95 431.8 173445.
14:14:09 0.56  40.60 238.77 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.24 442.1 142737.
14:14:50 0.56  40.60 238.77 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.71 444.7 177164.
14:15:30 0.56  40.60 238.76 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.98 438.7 176291.
14:16:11 0.56  40.60 238.75 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 46.18 437.6 232197.
14:16:51 0.56  40.60 238.74 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 46.35 448.1 228594.
14:17:32 0.56  40.60 238.74 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.10 443.4 184506.
14:18:12 0.56  40.61 238.74 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.24 454.2 194011.
14:18:53 0.56  40.61 238.73 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.06 453.0 206566.
14:19:33 0.56  40.61 238.72 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.36 452.7 197565.
14:20:14 0.56  40.61 238.72 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.89 452.3 195538.
14:20:54 0.56  40.61 238.71 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.30 459.0 203636.
14:21:35 0.56  40.61 238.71 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.49 456.6 218306.
14:22:15 0.56  40.61 238.70 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.56 452.5 229452.
14:22:56 0.56  40.61 238.69 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.66 453.4 219005.
14:23:36 0.56  40.61 238.69 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.90 464.9 187855.
14:24:17 0.56  40.61 238.69 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.72 465.2 155380.
14:24:57 0.56  40.61 238.68 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.31 465.0 186624.
14:25:38 0.56  40.61 238.67 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.10 459.8 196356.
14:26:18 0.56  40.61 238.67 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.06 456.4 186068.
14:26:59 0.56  40.61 238.66 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.39 457.0 197591.
14:27:39 0.56  40.61 238.66 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.21 459.7 193247.
14:28:20 0.56  40.61 238.65 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.83 458.2 193767.
14:29:00 0.56  40.61 238.65 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.24 460.3 195323.
14:29:41 0.56  40.61 238.64 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.67 456.6 180786.
14:30:21 0.56  40.61 238.63 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.52 456.7 177252.
14:31:02 0.56  40.62 238.63 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.46 454.5 189713.
14:31:42 0.56  40.62 238.62 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.28 456.5 180218.
14:32:23 0.56  40.62 238.62 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.00 453.6 181274.
14:33:03 0.56  40.62 238.61 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.03 451.3 151125.
14:33:44 0.56  40.62 238.60 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.56 456.9 183528.
14:34:24 0.56  40.62 238.60 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.00 458.6 180718.
14:35:05 0.56  40.62 238.60 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.79 453.8 189047.
14:35:45 0.56  40.62 238.59 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.31 452.1 181979.
14:36:26 0.56  40.62 238.58 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.06 459.1 213973.
14:37:06 0.56  40.62 238.58 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.27 406.0 191799.
14:37:47 0.56  40.62 238.57 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.18 408.8 171723.
14:38:27 0.56  40.62 238.57 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.63 414.9 174988.
14:39:08 0.56  40.62 238.56 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.57 410.6 172886.
14:39:48 0.56  40.62 238.55 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.44 418.5 182713.
14:40:29 0.56  40.62 238.55 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.71 424.0 207641.
14:41:09 0.56  40.62 238.55 -6.94 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.92 409.7 210386.
