1980/003   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:00:14 0.86 344.42 263.44 -1.31 1690   3.65   603.3 194287. -1.49 -0.79   0.00   0.00   0.00 0.00 0.00 0.00  0.12 638.1 571300.  3.37 600.4 194998.
 0:00:54 0.86 344.42 263.43 -1.31 1690   3.82   596.3 184493. -1.47 -0.08   0.00   0.00   0.00 0.00 0.00 0.00  0.15 655.9 596508.  3.07 601.4 230329.
 0:01:35 0.86 344.42 263.43 -1.31 1690   3.76   602.0 194147. -2.14  1.30   0.00   0.00   0.00 0.00 0.00 0.00  0.16 654.9 960751.  3.57 600.7 180007.
 0:02:15 0.86 344.42 263.42 -1.31 1690   3.37   600.0 182576. -2.03  2.08   0.00   0.00   0.00 0.00 0.00 0.00  0.13 656.7 592519.  3.06 603.0 230904.
 0:02:56 0.86 344.42 263.41 -1.31 1690   3.72   628.0 203038. -0.83  4.47   0.00   0.00   0.00 0.00 0.00 0.00  0.17 661.8 778837.  3.39 631.3 202934.
 0:03:36 0.86 344.42 263.41 -1.31 1690   3.45   619.9 159697. -0.69  3.97   0.00   0.00   0.00 0.00 0.00 0.00  0.16 660.8 460099.  3.21 621.3 201008.
 0:04:17 0.86 344.42 263.40 -1.31 1690   3.75   614.5 198318. -1.39  3.30   0.00   0.00   0.00 0.00 0.00 0.00  0.13 655.0 755618.  3.44 611.9 190590.
 0:04:57 0.86 344.42 263.40 -1.31 1690   3.72   602.1 168202. -1.02  2.57   0.00   0.00   0.00 0.00 0.00 0.00  0.14 677.61171900.  3.27 609.4 196795.
 0:05:38 0.86 344.42 263.39 -1.31 1690   3.88   613.0 173302. -0.75  3.15   0.00   0.00   0.00 0.00 0.00 0.00  0.14 670.2 698458.  3.55 610.9 172074.
 0:06:18 0.86 344.42 263.38 -1.31 1690   3.92   601.6 171252. -0.59  2.43   0.00   0.00   0.00 0.00 0.00 0.00  0.11 653.8 687569.  3.22 607.1 186877.
 0:06:59 0.86 344.42 263.38 -1.31 1690   3.51   604.7 191133. -1.32  2.31   0.00   0.00   0.00 0.00 0.00 0.00  0.12 672.1 571898.  3.27 603.2 183505.
 0:07:39 0.86 344.42 263.37 -1.31 1690   3.41   604.2 192923.  0.14  1.72   0.00   0.00   0.00 0.00 0.00 0.00  0.10 646.0 631072.  3.28 607.0 217309.
 0:08:20 0.86 344.42 263.37 -1.31 1690   3.81   607.9 200950. -0.76  2.40   0.00   0.00   0.00 0.00 0.00 0.00  0.17 652.2 859776.  3.32 606.9 187618.
 0:09:00 0.86 344.42 263.36 -1.31 1690   3.89   607.1 181780. -0.16  2.43   0.00   0.00   0.00 0.00 0.00 0.00  0.13 663.4 792403.  3.27 610.8 201791.
 0:09:41 0.86 344.42 263.36 -1.31 1690   3.78   605.4 201729. -2.65  2.09   0.00   0.00   0.00 0.00 0.00 0.00  0.14 656.2 744157.  3.39 604.2 187374.
 0:10:21 0.86 344.42 263.35 -1.31 1690   3.99   600.5 179903. -1.23  1.10   0.00   0.00   0.00 0.00 0.00 0.00  0.13 658.2 577758.  3.57 604.3 213466.
 0:11:02 0.86 344.42 263.34 -1.31 1690   3.85   607.7 208944.  0.06  0.38   0.00   0.00   0.00 0.00 0.00 0.00  0.18 658.51119068.  3.53 605.2 195901.
 0:11:42 0.86 344.42 263.34 -1.31 1690   3.86   601.8 182570.  0.35 -0.92   0.00   0.00   0.00 0.00 0.00 0.00  0.15 659.3 501406.  3.45 605.3 216802.
 0:12:23 0.86 344.42 263.33 -1.31 1690   3.80   605.9 208493. -0.39 -0.33   0.00   0.00   0.00 0.00 0.00 0.00  0.15 638.3 633345.  3.38 602.6 194534.
 0:13:03 0.86 344.42 263.32 -1.31 1690   3.88   598.6 177350. -0.57 -0.44   0.00   0.00   0.00 0.00 0.00 0.00  0.11 647.9 795314.  3.39 603.9 214687.
 0:13:44 0.86 344.42 263.32 -1.31 1690   3.83   603.3 198923. -1.14 -1.50   0.00   0.00   0.00 0.00 0.00 0.00  0.17 649.3 839869.  3.57 602.2 190704.
 0:14:24 0.86 344.42 263.31 -1.31 1690   3.95   602.0 173468.  0.23 -0.82   0.00   0.00   0.00 0.00 0.00 0.00  0.14 651.7 580539.  3.49 606.5 219141.
 0:15:05 0.86 344.42 263.30 -1.31 1690   3.92   602.9 193507. -1.08  0.43   0.00   0.00   0.00 0.00 0.00 0.00  0.14 655.9 940624.  3.49 600.4 182362.
 0:15:45 0.86 344.42 263.30 -1.31 1690   4.00   596.2 166337. -1.20 -0.28   0.00   0.00   0.00 0.00 0.00 0.00  0.18 636.9 878305.  3.32 602.3 216390.
 0:16:26 0.86 344.42 263.29 -1.31 1690   4.31   603.4 196376. -3.05 -0.27   0.00   0.00   0.00 0.00 0.00 0.00  0.13 660.2 820496.  3.77 601.2 172646.
 0:17:06 0.86 344.42 263.28 -1.31 1690   3.78   596.5 176443. -2.64 -0.03   0.00   0.00   0.00 0.00 0.00 0.00  0.14 650.2 569871.  3.33 602.8 224816.
 0:17:47 0.86 344.42 263.28 -1.31 1690   3.88   602.2 197669. -3.17 -0.98   0.00   0.00   0.00 0.00 0.00 0.00  0.13 640.5 577927.  3.36 601.0 188752.
 0:18:27 0.86 344.42 263.27 -1.31 1690   3.72   598.9 177609. -0.63 -1.14   0.00   0.00   0.00 0.00 0.00 0.00  0.13 657.8 571989.  3.39 603.9 212391.
